prov,cat,year,threshold,changed
上海市,货物/服务,2020,400.0,0
上海市,货物/服务,2021,400.0,0
上海市,货物/服务,2022,400.0,0
上海市,货物/服务,2023,400.0,0
上海市,货物/服务,2024,400.0,0
中央,货物/服务,2020,200.0,0
中央,货物/服务,2021,200.0,0
中央,货物/服务,2022,200.0,0
中央,货物/服务,2023,200.0,0
中央,货物/服务,2024,200.0,0
云南省,货物/服务,2020,200.0,1
云南省,货物/服务,2021,200.0,1
云南省,货物/服务,2022,200.0,1
云南省,货物/服务,2023,200.0,1
云南省,货物/服务,2024,400.0,1
内蒙古自治区,货物/服务,2020,400.0,0
内蒙古自治区,货物/服务,2021,400.0,0
内蒙古自治区,货物/服务,2022,400.0,0
内蒙古自治区,货物/服务,2023,400.0,0
内蒙古自治区,货物/服务,2024,400.0,0
北京市,货物/服务,2020,400.0,0
北京市,货物/服务,2021,400.0,0
北京市,货物/服务,2022,400.0,0
北京市,货物/服务,2023,400.0,0
北京市,货物/服务,2024,400.0,0
吉林省,货物/服务,2020,200.0,0
吉林省,货物/服务,2021,200.0,0
吉林省,货物/服务,2022,200.0,0
吉林省,货物/服务,2023,200.0,0
吉林省,货物/服务,2024,200.0,0
四川省,货物/服务,2020,200.0,1
四川省,货物/服务,2021,400.0,1
四川省,货物/服务,2022,400.0,1
四川省,货物/服务,2023,400.0,1
四川省,货物/服务,2024,400.0,1
天津市,货物/服务,2020,400.0,0
天津市,货物/服务,2021,400.0,0
天津市,货物/服务,2022,400.0,0
天津市,货物/服务,2023,400.0,0
天津市,货物/服务,2024,400.0,0
宁夏回族自治区,货物/服务,2020,100.0,1
宁夏回族自治区,货物/服务,2021,200.0,1
宁夏回族自治区,货物/服务,2022,200.0,1
宁夏回族自治区,货物/服务,2023,200.0,1
宁夏回族自治区,货物/服务,2024,200.0,1
安徽省,货物/服务,2020,400.0,0
安徽省,货物/服务,2021,400.0,0
安徽省,货物/服务,2022,400.0,0
安徽省,货物/服务,2023,400.0,0
安徽省,货物/服务,2024,400.0,0
山东省,货物/服务,2020,400.0,0
山东省,货物/服务,2021,400.0,0
山东省,货物/服务,2022,400.0,0
山东省,货物/服务,2023,400.0,0
山东省,货物/服务,2024,400.0,0
山西省,货物/服务,2020,400.0,0
山西省,货物/服务,2021,400.0,0
山西省,货物/服务,2022,400.0,0
山西省,货物/服务,2023,400.0,0
山西省,货物/服务,2024,400.0,0
广东省,货物/服务,2020,200.0,1
广东省,货物/服务,2021,400.0,1
广东省,货物/服务,2022,400.0,1
广东省,货物/服务,2023,400.0,1
广东省,货物/服务,2024,400.0,1
广西壮族自治区,货物/服务,2020,200.0,1
广西壮族自治区,货物/服务,2021,200.0,1
广西壮族自治区,货物/服务,2022,300.0,1
广西壮族自治区,货物/服务,2023,300.0,1
广西壮族自治区,货物/服务,2024,300.0,1
江苏省,货物/服务,2020,200.0,1
江苏省,货物/服务,2021,400.0,1
江苏省,货物/服务,2022,400.0,1
江苏省,货物/服务,2023,400.0,1
江苏省,货物/服务,2024,400.0,1
江西省,货物/服务,2020,200.0,0
江西省,货物/服务,2021,200.0,0
江西省,货物/服务,2022,200.0,0
江西省,货物/服务,2023,200.0,0
江西省,货物/服务,2024,200.0,0
河北省,货物/服务,2020,200.0,0
河北省,货物/服务,2021,200.0,0
河北省,货物/服务,2022,200.0,0
河北省,货物/服务,2023,200.0,0
河北省,货物/服务,2024,200.0,0
河南省,货物/服务,2020,400.0,0
河南省,货物/服务,2021,400.0,0
河南省,货物/服务,2022,400.0,0
河南省,货物/服务,2023,400.0,0
河南省,货物/服务,2024,400.0,0
浙江省,货物/服务,2020,200.0,1
浙江省,货物/服务,2021,400.0,1
浙江省,货物/服务,2022,400.0,1
浙江省,货物/服务,2023,400.0,1
浙江省,货物/服务,2024,400.0,1
海南省,货物/服务,2020,400.0,0
海南省,货物/服务,2021,400.0,0
海南省,货物/服务,2022,400.0,0
海南省,货物/服务,2023,400.0,0
海南省,货物/服务,2024,400.0,0
湖北省,货物/服务,2020,300.0,1
湖北省,货物/服务,2021,400.0,1
湖北省,货物/服务,2022,400.0,1
湖北省,货物/服务,2023,400.0,1
湖北省,货物/服务,2024,400.0,1
湖南省,货物/服务,2020,200.0,0
湖南省,货物/服务,2021,200.0,0
湖南省,货物/服务,2022,200.0,0
湖南省,货物/服务,2023,200.0,0
湖南省,货物/服务,2024,200.0,0
甘肃省,货物/服务,2020,200.0,0
甘肃省,货物/服务,2021,200.0,0
甘肃省,货物/服务,2022,200.0,0
甘肃省,货物/服务,2023,200.0,0
甘肃省,货物/服务,2024,200.0,0
福建省,货物/服务,2020,200.0,1
福建省,货物/服务,2021,300.0,1
福建省,货物/服务,2022,300.0,1
福建省,货物/服务,2023,300.0,1
福建省,货物/服务,2024,300.0,1
贵州省,货物/服务,2020,100.0,1
贵州省,货物/服务,2021,200.0,1
贵州省,货物/服务,2022,200.0,1
贵州省,货物/服务,2023,200.0,1
贵州省,货物/服务,2024,200.0,1
辽宁省,货物/服务,2020,200.0,0
辽宁省,货物/服务,2021,200.0,0
辽宁省,货物/服务,2022,200.0,0
辽宁省,货物/服务,2023,200.0,0
辽宁省,货物/服务,2024,200.0,0
重庆市,货物/服务,2020,200.0,0
重庆市,货物/服务,2021,200.0,0
重庆市,货物/服务,2022,200.0,0
重庆市,货物/服务,2023,200.0,0
重庆市,货物/服务,2024,200.0,0
陕西省,货物/服务,2020,300.0,0
陕西省,货物/服务,2021,300.0,0
陕西省,货物/服务,2022,300.0,0
陕西省,货物/服务,2023,300.0,0
陕西省,货物/服务,2024,300.0,0
青海省,货物/服务,2020,300.0,1
青海省,货物/服务,2021,400.0,1
青海省,货物/服务,2022,400.0,1
青海省,货物/服务,2023,400.0,1
青海省,货物/服务,2024,400.0,1
黑龙江省,货物/服务,2020,200.0,1
黑龙江省,货物/服务,2021,400.0,1
黑龙江省,货物/服务,2022,400.0,1
黑龙江省,货物/服务,2023,400.0,1
黑龙江省,货物/服务,2024,400.0,1
